,id,brand,title,sold_price,actual_price,url,img
0,1,Deals4you,Loafers For Men,₹549,₹999,https://www.flipkart.com/deals4you-loafers-men/p/itm469a5b56623b0?pid=SHOG529TVFPPJFQT&lid=LSTSHOG529TVFPPJFQTGNCSAO&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&srno=b_1_1&otracker=nmenu_sub_Men_0_Formal%20Shoes&fm=organic&iid=en_FeOnjOvp2xgNJQ4fgP1oKvwIIAf0NOdrSNEeocRQV85TYN51GPuoEFPpl_-tgB1w2W6vWx-6ZoAs_gC4Q1DcqA%3D%3D&ppt=None&ppn=None&ssid=wb8g22qd800000001691872649863,https://rukminim2.flixcart.com/image/612/612/kw6pw280/shoe/e/n/s/8-wk001-webok-black-original-imag8wpfzd4bqr2f.jpeg?q=70
1,2,Rising Wolf,Lace Up For Men,₹649,"₹1,599",https://www.flipkart.com/rising-wolf-lace-up-men/p/itm70b4dcc6cbe4c?pid=SHOFXKKTVNMBJHZA&lid=LSTSHOFXKKTVNMBJHZA22NNAT&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&srno=b_1_2&otracker=nmenu_sub_Men_0_Formal%20Shoes&fm=organic&iid=en_FeOnjOvp2xgNJQ4fgP1oKvwIIAf0NOdrSNEeocRQV87I0j1S6gWrIRQXRlJwfxN1xJao81eMgVI1nigkxNfdpw%3D%3D&ppt=None&ppn=None&ssid=wb8g22qd800000001691872649863,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/o/g/c/12-bk719-46-rising-wolf-black-original-imaggahhrqyhaefu.jpeg?q=70
2,3,aadi,Synthetic Leather For Men,₹399,"₹1,999",https://www.flipkart.com/aadi-synthetic-leather-men/p/itm36d147f79a9bb?pid=SHOGBGNFYFFYMX9E&lid=LSTSHOGBGNFYFFYMX9EJS7MHU&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&srno=b_1_3&otracker=nmenu_sub_Men_0_Formal%20Shoes&fm=organic&iid=c51785cb-48c5-43a1-beaa-94fb0de1fc16.SHOGBGNFYFFYMX9E.SEARCH&ppt=None&ppn=None&ssid=wb8g22qd800000001691872649863,https://rukminim2.flixcart.com/image/612/612/l2m78280/shoe/q/h/z/7-mrj1852-7-aadi-black-original-imagdwgudezandfs.jpeg?q=70
3,4,Bata,Slip On For Men,₹692,"₹1,099",https://www.flipkart.com/bata-slip-men/p/itm5bcdfaec0686f?pid=SHOGGZ6TRPTHHBBK&lid=LSTSHOGGZ6TRPTHHBBKYZLCLQ&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&spotlightTagId=BestsellerId_osp%2Fcil%2Fssb&srno=b_1_4&otracker=nmenu_sub_Men_0_Formal%20Shoes&fm=organic&iid=c51785cb-48c5-43a1-beaa-94fb0de1fc16.SHOGGZ6TRPTHHBBK.SEARCH&ppt=None&ppn=None&ssid=wb8g22qd800000001691872649863,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/r/e/v/-original-imags4f5p2wtnn5c.jpeg?q=70
4,5,Bata,MAX Oxford For Men,₹818,"₹1,299",https://www.flipkart.com/bata-max-oxford-men/p/itme4f493dffe94e?pid=SHOG7H5RKHZ6PMAC&lid=LSTSHOG7H5RKHZ6PMACU4HPBK&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&srno=b_1_5&otracker=nmenu_sub_Men_0_Formal%20Shoes&fm=organic&iid=c51785cb-48c5-43a1-beaa-94fb0de1fc16.SHOG7H5RKHZ6PMAC.SEARCH&ppt=None&ppn=None&ssid=wb8g22qd800000001691872649863,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/f/l/l/-original-imagfpz8fgbmwgzt-bb.jpeg?q=70
5,6,Bata,Derby For Men,₹755,"₹1,199",https://www.flipkart.com/bata-derby-men/p/itmd7652915119c0?pid=SHOGJSA4K9ZXGF2D&lid=LSTSHOGJSA4K9ZXGF2DFJ5FKL&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&spotlightTagId=BestsellerId_osp%2Fcil%2Fssb&srno=b_1_6&otracker=nmenu_sub_Men_0_Formal%20Shoes&fm=organic&iid=c51785cb-48c5-43a1-beaa-94fb0de1fc16.SHOGJSA4K9ZXGF2D.SEARCH&ppt=None&ppn=None&ssid=wb8g22qd800000001691872649863,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/o/m/y/-original-imagzry3gugpvqty.jpeg?q=70
6,7,ASF Shoe,lestest Formal shoes/Comfortable shoes black/Stylish sh...,₹494,₹999,https://www.flipkart.com/asf-shoe-lestest-formal-shoes-comfortable-shoes-black-stylish-shoes-party-wear-shoes-synthetic-leather-shoes-formal-black-shoes-light-weight-shoes-shoes-men-shoes-black-men-official-men-black-black-men-black-derby/p/itmf4b2hfg97aa6w?pid=SHOF4AYTV29ABVGN&lid=LSTSHOF4AYTV29ABVGNGK3W1M&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&srno=b_1_7&otracker=nmenu_sub_Men_0_Formal%20Shoes&fm=organic&iid=c51785cb-48c5-43a1-beaa-94fb0de1fc16.SHOF4AYTV29ABVGN.SEARCH&ppt=None&ppn=None&ssid=wb8g22qd800000001691872649863,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/8/a/g/-original-imaghvbbuutyqjjc.jpeg?q=70
7,8,VIPSJAZZY,Lace Up For Men,₹449,"₹1,299",https://www.flipkart.com/vipsjazzy-lace-up-men/p/itmecb6de21bd29d?pid=SHOGBHTRDH7QPZGT&lid=LSTSHOGBHTRDH7QPZGTSVM1QZ&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&srno=b_1_8&otracker=nmenu_sub_Men_0_Formal%20Shoes&fm=organic&iid=en_FeOnjOvp2xgNJQ4fgP1oKvwIIAf0NOdrSNEeocRQV85oebKuciHkNzABgjRtuTb0AD4cIOwMiH9Qzanl-sN3og%3D%3D&ppt=None&ppn=None&ssid=wb8g22qd800000001691872649863,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/i/i/s/-original-imags4f6mgkrnddk.jpeg?q=70
8,9,ASF Shoe,lestest Formal shoes/Comfortable shoes black/Stylish sh...,₹494,₹999,https://www.flipkart.com/asf-shoe-lestest-formal-shoes-comfortable-shoes-black-stylish-shoes-party-wear-shoes-synthetic-leather-shoes-formal-black-shoes-light-weight-shoes-shoes-men-shoes-black-men-official-men-black-black-men-black-slip/p/itmf4gwfk9zbyana?pid=SHOF4GPJ5JR9VW4T&lid=LSTSHOF4GPJ5JR9VW4T8SJCPS&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&srno=b_1_9&otracker=nmenu_sub_Men_0_Formal%20Shoes&fm=organic&iid=c51785cb-48c5-43a1-beaa-94fb0de1fc16.SHOF4GPJ5JR9VW4T.SEARCH&ppt=None&ppn=None&ssid=wb8g22qd800000001691872649863,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/s/u/r/-original-imagg3abbxy8fnwn.jpeg?q=70
9,10,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹399,₹999,https://www.flipkart.com/aadi-synthetic-leather-lightweight-comfort-summer-trendy-walking-outdoor-daily-use-lace-up-men/p/itm7ac1689d5120b?pid=SHOFW9P3VTPZEQRH&lid=LSTSHOFW9P3VTPZEQRHPQ7SYI&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&srno=b_1_10&otracker=nmenu_sub_Men_0_Formal%20Shoes&fm=organic&iid=c51785cb-48c5-43a1-beaa-94fb0de1fc16.SHOFW9P3VTPZEQRH.SEARCH&ppt=None&ppn=None&ssid=wb8g22qd800000001691872649863,https://rukminim2.flixcart.com/image/612/612/kfwvcsw0-0/shoe/i/i/4/mrj1488-10-aadi-black-original-imafw9p38fqvmmmh.jpeg?q=70
